Running inference with number of nodes: 8, free nodes: 6
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Computing | 2      | 0        | 4        | 5600     | 1.0000 | 1     | -279.09  
Sampling  | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Computing | 2      | 0        | 4        | 5700     | 1.0000 | 1     | -279.12  
Bounding  | 3      | 0        | 4        | 9600     | 1.0000 | 1     | -196.89  
Sampling  | 4      | 1        | 4        | 9600     | 1.0000 | 1     | -994.83  
Computing | 4      | 1        | 4        | 9600     | 1.0000 | 1     | -994.83  
Sampling  | 4      | 1        | 4        | 9700     | 1.0000 | 1     | -196.55  
Computing | 4      | 1        | 4        | 9700     | 1.0000 | 1     | -196.55  
Sampling  | 4      | 1        | 4        | 9800     | 1.0000 | 1     | -196.90  
Computing | 4      | 1        | 4        | 9800     | 1.0000 | 1     | -196.90  
Sampling  | 4      | 1        | 4        | 9900     | 1.0000 | 1     | -196.94  
Computing | 4      | 1        | 4        | 9900     | 1.0000 | 1     | -196.94  
Sampling  | 4      | 1        | 4        | 10000    | 1.0000 | 1     | -196.98  
Computing | 4      | 1        | 4        | 10000    | 1.0000 | 1     | -196.98  
Sampling  | 4      | 1        | 4        | 10100    | 1.0000 | 1     | -197.02  
Computing | 4      | 1        | 4        | 10100    | 1.0000 | 1     | -197.02  
Sampling  | 4      | 1        | 4        | 10200    | 1.0000 | 1     | -197.06  
Computing | 4      | 1        | 4        | 10200    | 1.0000 | 1     | -197.06  
Sampling  | 4      | 1        | 4        | 10300    | 1.0000 | 1     | -197.10  
Computing | 4      | 1        | 4        | 10300    | 1.0000 | 1     | -197.10  
Sampling  | 4      | 1        | 4        | 10400    | 1.0000 | 1     | -197.13  
Computing | 4      | 1        | 4        | 10400    | 1.0000 | 1     | -197.13  
Sampling  | 4      | 1        | 4        | 10500    | 1.0000 | 1     | -197.16  
Computing | 4      | 1        | 4        | 10500    | 1.0000 | 1     | -197.16  
Sampling  | 4      | 1        | 4        | 10600    | 1.0000 | 1     | -197.20  
Computing | 4      | 1        | 4        | 10600    | 1.0000 | 1     | -197.20  
Sampling  | 4      | 1        | 4        | 10700    | 1.0000 | 1     | -197.23  
Computing | 4      | 1        | 4        | 10700    | 1.0000 | 1     | -197.23  
Sampling  | 4      | 1        | 4        | 10800    | 1.0000 | 1     | -197.26  
Computing | 4      | 1        | 4        | 10800    | 1.0000 | 1     | -197.26  
Sampling  | 4      | 1        | 4        | 10900    | 1.0000 | 1     | -197.29  
Computing | 4      | 1        | 4        | 10900    | 1.0000 | 1     | -197.29  
Sampling  | 4      | 1        | 4        | 11000    | 1.0000 | 1     | -197.32  
Computing | 4      | 1        | 4        | 11000    | 1.0000 | 1     | -197.32  
Sampling  | 4      | 1        | 4        | 11100    | 1.0000 | 1     | -197.34  
Computing | 4      | 1        | 4        | 11100    | 1.0000 | 1     | -197.34  
Sampling  | 4      | 1        | 4        | 11200    | 1.0000 | 1     | -197.37  
Computing | 4      | 1        | 4        | 11200    | 1.0000 | 1     | -197.37  
Sampling  | 4      | 1        | 4        | 11300    | 1.0000 | 1     | -197.40  
Computing | 4      | 1        | 4        | 11300    | 1.0000 | 1     | -197.40  
Sampling  | 4      | 1        | 4        | 11400    | 1.0000 | 1     | -197.42  
Computing | 4      | 1        | 4        | 11400    | 1.0000 | 1     | -197.42  
Sampling  | 4      | 1        | 4        | 11500    | 1.0000 | 1     | -197.45  
Computing | 4      | 1        | 4        | 11500    | 1.0000 | 1     | -197.45  
Sampling  | 4      | 1        | 4        | 11600    | 1.0000 | 1     | -165.62  
Computing | 4      | 1        | 4        | 11600    | 1.0000 | 1     | -165.62  
Sampling  | 4      | 1        | 4        | 11700    | 1.0000 | 1     | -165.64  
Computing | 4      | 1        | 4        | 11700    | 1.0000 | 1     | -165.64  
Sampling  | 4      | 1        | 4        | 11800    | 1.0000 | 1     | -165.66  
Computing | 4      | 1        | 4        | 11800    | 1.0000 | 1     | -165.66  
Sampling  | 4      | 1        | 4        | 11900    | 1.0000 | 1     | -165.69  
Computing | 4      | 1        | 4        | 11900    | 1.0000 | 1     | -165.69  
Sampling  | 4      | 1        | 4        | 12000    | 1.0000 | 1     | -165.71  
